,语文,数学,英语,物理,化学,地理
3202610164,137,52,52,54,79,27
3202610165,55,70,127,99,44,27
3202610166,65,53,90,21,86,65
3202610167,103,90,51,34,56,84
3202610168,139,140,149,26,56,85
3202610169,96,128,88,93,53,21
3202610170,92,135,124,81,88,53
3202610171,80,103,108,69,52,55
3202610172,129,53,133,59,32,94
3202610173,72,99,119,55,87,82
3202610174,51,54,95,35,36,44
3202610175,129,140,87,30,71,96
3202610176,69,115,125,43,36,78
3202610177,117,69,88,50,74,89
3202610178,73,144,122,46,55,98
3202610179,57,98,132,29,53,57
3202610180,121,127,69,86,24,49
3202610181,123,81,118,95,87,53
3202610182,118,106,61,31,35,30
3202610183,60,146,117,67,21,96
3202610184,72,81,139,93,64,23
3202610185,52,107,80,42,39,59
3202610186,66,119,90,29,78,96
3202610187,122,145,136,93,47,34
3202610188,98,73,52,49,65,48
3202610189,66,115,50,59,67,96
3202610190,79,129,74,44,60,75
3202610191,118,52,119,21,21,33
3202610192,124,89,131,53,89,39
3202610193,104,116,106,42,73,21
3202610194,140,107,142,41,55,83
3202610195,122,108,76,75,99,88
3202610196,62,142,82,96,25,63
3202610197,117,98,72,20,50,86
3202610198,58,140,149,88,67,62
3202610199,84,70,128,99,20,52
3202610200,123,108,138,47,72,98
